time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
26.693,572.8840,1.1335,327.7888,0.2510,3.8000,-0.4500,353.4445,182.0863,6.2632
26.807,572.8049,1.1754,328.1332,0.2510,3.8000,-0.4500,354.5851,182.2260,7.6202
26.915,572.7451,1.2241,328.4159,0.2510,3.8000,-0.4500,355.5438,182.3644,8.7502
27.026,572.6805,1.2957,328.7495,0.2510,3.8000,-0.4500,356.6523,182.5484,10.0542
27.136,572.6321,1.3634,329.0225,0.2510,3.8000,-0.4500,357.5043,182.7074,11.0601
27.238,572.5875,1.4361,329.2910,0.2510,3.8000,-0.4500,358.2637,182.8622,11.9631
27.345,572.5380,1.5266,329.6078,0.2510,3.8000,-0.4500,359.0273,183.0304,12.8810
27.454,572.4987,1.6025,329.8681,0.2510,3.8000,-0.4500,359.5275,183.1476,13.4908
27.567,572.4523,1.6919,330.1770,0.2510,3.8001,-0.4500,359.9592,183.2533,14.0244
27.685,572.4022,1.7719,330.4854,0.2510,3.8000,-0.4500,0.0134,183.2669,14.0920
27.794,572.3600,1.8365,330.7414,0.2510,3.8000,-0.4500,0.0134,183.2669,14.0920
27.901,572.3084,1.9112,331.0480,0.2510,3.8000,-0.4500,0.0134,183.2669,14.0919
28.005,572.2641,1.9701,331.3035,0.2510,3.8000,-0.4500,0.0134,183.2669,14.0919
28.117,572.2179,2.0254,331.5595,0.2510,3.8000,-0.4500,0.0134,183.2669,14.0919
28.226,572.1525,2.0755,331.8700,0.2510,3.8000,-0.4500,359.7661,183.2062,13.4997
28.339,572.0941,2.1114,332.1302,0.2510,3.8000,-0.4500,359.5415,183.1534,12.9211
28.448,572.0199,2.1489,332.4439,0.2510,3.8000,-0.4500,359.3119,183.1022,12.1836
28.555,571.9548,2.1766,332.7064,0.2510,3.8000,-0.4500,359.1823,183.0749,11.5423
28.677,571.8728,2.2067,333.0220,0.2510,3.8000,-0.4500,359.1267,183.0638,10.7504
28.790,571.7872,2.2347,333.3377,0.2510,3.8000,-0.4500,359.1922,183.0756,9.9441
28.898,571.7131,2.2569,333.6006,0.2510,3.8000,-0.4500,359.3311,183.0991,9.2645
29.010,571.6205,2.2816,333.9156,0.2510,3.8000,-0.4500,359.5595,183.1346,8.4326
29.112,571.5400,2.3003,334.1778,0.2510,3.8000,-0.4500,359.7587,183.1629,7.7124
29.222,571.4395,2.3210,334.4918,0.2510,3.8000,-0.4500,0.0389,183.1984,6.7967
29.329,571.3523,2.3385,334.7517,0.2510,3.8000,-0.4500,0.4127,183.2401,5.9767
29.429,571.2618,2.3582,335.0086,0.2510,3.8000,-0.4500,0.9833,183.2952,5.0996
29.538,571.1680,2.3805,335.2620,0.2510,3.8000,-0.4500,1.7432,183.3566,4.1656
29.647,571.0502,2.4103,335.5613,0.2510,3.8000,-0.4500,2.8317,183.4245,2.9776
29.757,570.9476,2.4366,335.8067,0.2510,3.8000,-0.4500,3.8077,183.4665,1.9438
29.857,570.8409,2.4632,336.0489,0.2510,3.8000,-0.4500,4.7786,183.4906,0.8867
29.966,570.7076,2.4942,336.3362,0.2510,3.8000,-0.4500,5.8638,183.4956,359.6156
30.075,570.5926,2.5184,336.5735,0.2510,3.8000,-0.4500,6.6566,183.4832,358.5825
30.180,570.4505,2.5451,336.8569,0.2510,3.8000,-0.4500,7.4363,183.4560,357.4139
