time_sec,angle_x,angle_y,angle_z
65.454,92.7434,-10.5195,-103.2993
65.573,92.7491,-10.5188,-103.2922
65.708,92.7438,-10.5181,-103.2940
65.827,92.7493,-10.5145,-103.2930
65.949,92.7408,-10.5040,-103.2922
66.068,92.7319,-10.4949,-103.2967
66.195,92.7432,-10.4793,-103.2964
66.314,92.7602,-10.4818,-103.3126
66.432,92.7778,-10.4927,-103.3105
66.553,92.8321,-10.5011,-103.3252
66.672,92.8668,-10.5217,-103.3325
66.807,92.9215,-10.5400,-103.3342
66.927,92.9389,-10.5482,-103.3383
67.049,92.9878,-10.5715,-103.3463
67.168,93.0136,-10.5830,-103.3582
67.295,93.0486,-10.6064,-103.3595
67.413,93.0691,-10.6287,-103.3655
67.531,93.1128,-10.6583,-103.3686
67.653,93.1473,-10.6804,-103.3814
67.771,93.1626,-10.7090,-103.3824
67.906,93.2058,-10.7373,-103.3969
68.026,93.2092,-10.7499,-103.3935
68.148,93.2208,-10.7745,-103.3963
68.267,93.2505,-10.8015,-103.3988
68.394,93.2561,-10.7936,-103.3987
68.512,93.2616,-10.7901,-103.3977
68.630,93.2733,-10.8104,-103.4013
68.755,93.2788,-10.8069,-103.4003
68.874,93.2879,-10.8116,-103.3967
68.996,93.2998,-10.8276,-103.4012
69.115,93.2942,-10.8355,-103.4014
69.242,93.2942,-10.8355,-103.4014
69.360,93.2940,-10.8326,-103.4074
69.479,93.2855,-10.8292,-103.3996
69.601,93.2854,-10.8336,-103.3988
69.711,93.2799,-10.8371,-103.3998
69.821,93.2796,-10.8343,-103.4059
69.949,93.2710,-10.8352,-103.3973
70.067,93.2623,-10.8290,-103.3956
70.197,93.2569,-10.8325,-103.3966
70.316,93.2594,-10.8407,-103.3723
70.443,93.2625,-10.8619,-103.3673
70.561,93.2683,-10.8684,-103.3534
70.679,93.2683,-10.8684,-103.3534
70.801,93.2682,-10.8727,-103.3526
70.919,93.2515,-10.8991,-103.3471
71.054,93.2234,-10.9080,-103.3319
71.174,93.2090,-10.9211,-103.3227
71.296,93.2175,-10.9245,-103.3305
71.415,93.1951,-10.9516,-103.3320
71.542,93.1753,-10.9682,-103.3238
71.660,93.1610,-10.9698,-103.3223
71.778,93.1411,-10.9792,-103.3209
71.900,93.1157,-10.9922,-103.3206
72.018,93.1103,-11.0029,-103.3147
72.153,93.0990,-11.0114,-103.3220
72.273,93.0902,-11.0167,-103.3126
72.395,93.0902,-11.0167,-103.3126
72.514,93.0878,-11.0458,-103.3078
72.641,93.0823,-11.0493,-103.3088
72.759,93.0910,-11.0555,-103.3105
72.877,93.0910,-11.0555,-103.3105
72.999,93.0910,-11.0555,-103.3105
73.117,93.0913,-11.0583,-103.3045
73.253,93.0910,-11.0555,-103.3105
73.372,93.0909,-11.0599,-103.3097
73.494,93.0854,-11.0634,-103.3107
73.613,93.0854,-11.0634,-103.3107
73.740,93.0887,-11.0803,-103.3066
73.859,93.0744,-11.0819,-103.3050
73.977,93.0744,-11.0819,-103.3050
74.099,93.0798,-11.0712,-103.3109
74.217,93.0910,-11.0484,-103.3174
74.344,93.0959,-10.9973,-103.3201
74.463,93.1013,-10.9867,-103.3259
74.590,93.1009,-10.9695,-103.3457
74.708,93.0921,-10.9561,-103.3509
74.826,93.0928,-10.9692,-103.3703
74.948,93.1014,-10.9683,-103.3789
75.066,93.0959,-10.9833,-103.3722
75.201,93.1022,-11.0071,-103.3768
75.321,93.1108,-11.0062,-103.3854
75.443,93.1052,-11.0141,-103.3856
75.562,93.0996,-11.0219,-103.3857
75.689,93.0943,-11.0326,-103.3799
75.807,93.0884,-11.0376,-103.3861
75.925,93.0887,-11.0404,-103.3801
76.047,93.0831,-11.0483,-103.3803
76.165,93.0744,-11.0420,-103.3785
76.300,93.0798,-11.0385,-103.3775
76.419,93.0885,-11.0448,-103.3793
76.541,93.0887,-11.0476,-103.3732
76.660,93.0975,-11.0423,-103.3826
76.787,93.1060,-11.0457,-103.3904
76.905,93.1060,-11.0457,-103.3904
77.023,93.1060,-11.0457,-103.3904
77.145,93.1060,-11.0457,-103.3904
77.264,93.1060,-11.0457,-103.3904
77.391,93.1060,-11.0457,-103.3904
77.509,93.1060,-11.0457,-103.3904
77.636,93.1062,-11.0486,-103.3843
