time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
17.685,583.4531,4.3652,295.8867,0.2510,3.8000,-0.4500,355.2335,179.4752,7.8041
17.789,583.3481,4.2836,296.1841,0.2510,3.8000,-0.4500,355.0307,179.4524,5.4590
17.893,583.2368,4.1777,296.4821,0.2510,3.8000,-0.4500,354.5721,179.4192,2.9945
17.995,583.1222,4.0490,296.7806,0.2510,3.8000,-0.4500,353.9144,179.3995,0.5279
18.100,583.0069,3.9015,297.0789,0.2510,3.8000,-0.4500,353.1317,179.4088,358.1850
18.204,582.8709,3.7077,297.4358,0.2510,3.8000,-0.4500,352.1435,179.4626,355.7086
18.307,582.7606,3.5405,297.7319,0.2510,3.8000,-0.4500,351.3743,179.5325,354.0493
18.412,582.6531,3.3758,298.0272,0.2510,3.8000,-0.4500,350.7312,179.6074,352.8475
18.517,582.5478,3.2206,298.3219,0.2510,3.7999,-0.4500,350.2718,179.6689,352.1627
18.622,582.4238,3.0581,298.6758,0.2510,3.8000,-0.4500,350.2060,179.6781,352.0913
18.735,582.3218,2.9444,298.9734,0.2510,3.8000,-0.4500,350.2267,179.6754,352.5784
18.846,582.2021,2.8469,299.3338,0.2510,3.8000,-0.4500,350.5955,179.6318,353.9908
18.954,582.1060,2.8006,299.6368,0.2510,3.8000,-0.4500,351.2114,179.5759,355.7264
19.068,581.9987,2.7884,300.0026,0.2510,3.8000,-0.4500,352.2604,179.5215,358.3705
19.176,581.9191,2.8122,300.3079,0.2510,3.8000,-0.4500,353.3199,179.5150,0.9190
19.287,581.8388,2.8749,300.6727,0.2510,3.8000,-0.4500,354.7001,179.5770,4.1936
19.388,581.7859,2.9481,300.9732,0.2510,3.8000,-0.4500,355.8469,179.6890,6.9349
19.492,581.7452,3.0330,301.2697,0.2510,3.8000,-0.4500,356.9141,179.8438,9.5467
19.602,581.7101,3.1421,301.6193,0.2510,3.8000,-0.4500,358.0156,180.0570,12.3665
19.705,581.6900,3.2338,301.9055,0.2510,3.8000,-0.4500,358.7484,180.2312,14.3800
19.817,581.6752,3.3233,302.1876,0.2510,3.7999,-0.4500,359.3033,180.3820,16.0612
19.925,581.6629,3.4279,302.5214,0.2510,3.8001,-0.4500,359.7699,180.5233,17.6540
20.033,581.6589,3.5167,302.8039,0.2510,3.8000,-0.4500,0.1501,180.6484,18.6603
20.145,581.6687,3.6319,303.1481,0.2510,3.8000,-0.4500,0.9474,180.9255,19.5307
20.250,581.6876,3.7399,303.4089,0.2510,3.8001,-0.4500,2.0562,181.3249,20.0113
20.356,581.7128,3.8582,303.6376,0.2510,3.8000,-0.4500,3.5085,181.8592,20.3002
20.462,581.7471,4.0107,303.8675,0.2510,3.7999,-0.4500,5.4856,182.5961,20.4310
20.565,581.7701,4.1252,303.9017,0.2510,3.8001,-0.4500,7.1135,183.2059,20.3876
20.675,581.7832,4.2167,303.8120,0.2510,3.8001,-0.4500,8.4486,183.7049,20.2358
20.782,581.7880,4.3030,303.6155,0.2510,3.8001,-0.4500,9.5062,184.0970,19.9373
20.888,581.7848,4.3609,303.4129,0.2510,3.8000,-0.4500,9.9888,184.2732,19.5986
20.992,581.7776,4.4140,303.2398,0.2510,3.8000,-0.4500,10.2182,184.3553,19.1761
21.099,581.7751,4.4877,303.2228,0.2510,3.7999,-0.4500,10.3748,184.4099,18.6654
21.205,581.7756,4.6060,303.3451,0.2510,3.8000,-0.4500,10.7805,184.5461,17.9435
21.311,581.7734,4.7242,303.5060,0.2510,3.8000,-0.4500,11.3640,184.7346,17.2632
21.416,581.7654,4.8535,303.6862,0.2510,3.7999,-0.4500,12.0727,184.9544,16.5194
21.520,581.7453,5.0147,303.9066,0.2510,3.8001,-0.4500,12.8968,185.1973,15.5508
21.631,581.7192,5.1485,304.0877,0.2510,3.8001,-0.4500,13.4328,185.3463,14.6888
21.739,581.6842,5.2784,304.2661,0.2510,3.8000,-0.4500,13.7609,185.4323,13.7894
