time_sec,angle_x,angle_y,angle_z
73.859,93.0558,-16.9429,-99.8668
73.977,93.0063,-16.9588,-99.8595
74.098,92.9337,-16.9748,-99.8357
74.217,92.7882,-17.0085,-99.7935
74.344,92.7115,-17.0017,-99.7847
74.463,92.6301,-17.0066,-99.7591
74.590,92.6119,-17.0023,-99.7530
74.708,92.5809,-17.0297,-99.7454
74.826,92.5755,-17.0403,-99.7397
74.948,92.5588,-17.0682,-99.7398
75.066,92.5369,-17.0977,-99.7352
75.201,92.5137,-17.1023,-99.7181
75.321,92.4989,-17.1007,-99.7218
75.443,92.4754,-17.0953,-99.7170
75.570,92.4395,-17.0833,-99.6943
75.691,92.4193,-17.0895,-99.6981
75.811,92.3847,-17.1069,-99.6873
75.937,92.3793,-17.1102,-99.6881
76.056,92.3792,-17.1147,-99.6875
76.174,92.3738,-17.1180,-99.6883
76.296,92.3593,-17.1265,-99.6796
76.414,92.3047,-17.1456,-99.6732
76.541,92.2322,-17.1588,-99.6555
76.660,92.1778,-17.1762,-99.6437
76.787,92.1196,-17.1898,-99.6337
76.905,92.0906,-17.1922,-99.6292
77.024,92.0293,-17.1852,-99.6117
77.145,91.9912,-17.1782,-99.6108
77.264,91.9588,-17.1778,-99.5967
77.391,91.8991,-17.2103,-99.5787
77.509,91.8736,-17.2226,-99.5774
77.636,91.8392,-17.2328,-99.5732
77.754,91.8337,-17.2361,-99.5739
77.873,91.8371,-17.2477,-99.5825
77.993,91.8281,-17.2411,-99.5801
78.111,91.8371,-17.2477,-99.5825
78.239,91.8316,-17.2511,-99.5832
78.358,91.8315,-17.2556,-99.5826
78.484,91.8315,-17.2556,-99.5826
78.603,91.8261,-17.2589,-99.5834
78.722,91.8261,-17.2589,-99.5834
78.846,91.8315,-17.2556,-99.5826
78.964,91.8316,-17.2511,-99.5832
79.091,91.8551,-17.2565,-99.5878
79.210,91.8712,-17.2976,-99.5836
79.337,91.8926,-17.3253,-99.5910
79.455,91.9107,-17.3413,-99.5899
79.573,91.9667,-17.3471,-99.6087
79.695,91.9958,-17.3403,-99.6138
79.813,92.0536,-17.3328,-99.6287
79.940,92.1313,-17.3574,-99.6562
80.059,92.1929,-17.3671,-99.6680
80.186,92.2651,-17.4039,-99.6953
80.305,92.3103,-17.4326,-99.7083
80.423,92.3485,-17.4323,-99.7159
